day_exposure,sens
1,0.073734833
2,0.249822754
3,0.484463595
4,0.718863597
5,0.885393233
6,0.931770977
7,0.914385255
8,0.900773178
9,0.876154636
10,0.857241485
11,0.824635394
12,0.792415653
13,0.761035996
14,0.717160954
15,0.674450736
16,0.629587357
17,0.575723065
18,0.520211547
19,0.464288223
20,0.419977842
21,0.364631046
22,0.318508717
23,0.274810163
24,0.233141227
25,0.200786962
26,0.168775869
27,0.137149128
28,0.11877507
29,0.095324561
30,0.081892182
31,0.065180325
32,0.051523323
33,0.043931108
34,0.034631769
35,0.029510393
